4c1000: GL-equivalent to harness Hanner mask 80002000a via T=[5/7,2/7,1/7,-3/7; 3/7,4/7,-5/7,1/7; 5/7,2/7,1/7,4/7; -1/7,-6/7,-3/7,2/7]
610c: GL-equivalent to harness Hanner mask 4100104001 via T=[2,0,1,0; 0,0,-1,0; 0,0,-1,2; 1,1,0,0]
6188: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,1,-2,2; 1,0,1,0]
620c: GL-equivalent to harness Hanner mask 4100104001 via T=[2,0,1,0; 0,0,-1,0; -2,-2,-1,2; 1,1,0,0]
6406: GL-equivalent to harness Hanner mask 4100104001 via T=[1,-1,1,0; 1,1,-1,0; 3,1,1,2; 1,1,0,0]
640c: GL-equivalent to harness Hanner mask 4100104001 via T=[1,-1,1,0; 1,1,-1,0; 3,3,-1,2; 1,1,0,0]
6430: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,-1/2,0; 1,-1/2,1/2,0; 3,3/2,1/2,2; 1,1/2,1/2,0]
6806: GL-equivalent to harness Hanner mask 4100104001 via T=[1,-1,1,0; 1,1,-1,0; 1,-1,1,2; 1,1,0,0]
680c: GL-equivalent to harness Hanner mask 4100104001 via T=[1,-1,1,0; 1,1,-1,0; 1,1,-1,2; 1,1,0,0]
6830: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,-1/2,0; 1,-1/2,1/2,0; 1,1/2,-1/2,2; 1,1/2,1/2,0]
6c02: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 2,-1,2,2; 0,-1,1,0]
6c04: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 2,1,0,2; 0,-1,1,0]
6c08: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 2,3,-2,2; 0,-1,1,0]
6c10: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1/2,1/2,0; 0,-1/2,-1/2,0; 2,3/2,-1/2,2; 0,1/2,-1/2,0]
6c20: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1/2,1/2,0; 0,-1/2,-1/2,0; 2,1/2,1/2,2; 0,1/2,-1/2,0]
7006: GL-equivalent to harness Hanner mask 4100104001 via T=[1,-1,1,0; 1,1,-1,0; -1,-3,1,2; 1,1,0,0]
700c: GL-equivalent to harness Hanner mask 4100104001 via T=[1,-1,1,0; 1,1,-1,0; -1,-1,-1,2; 1,1,0,0]
7030: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,-1/2,0; 1,-1/2,1/2,0; -1,-1/2,-3/2,2; 1,1/2,1/2,0]
7802: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,-3,2,2; 0,-1,1,0]
7804: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,-1,0,2; 0,-1,1,0]
7808: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,1,-2,2; 0,-1,1,0]
7810: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1/2,1/2,0; 0,-1/2,-1/2,0; 0,1/2,-3/2,2; 0,1/2,-1/2,0]
7820: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1/2,1/2,0; 0,-1/2,-1/2,0; 0,-1/2,-1/2,2; 0,1/2,-1/2,0]
80088050: GL-equivalent to harness Hanner mask 4100104001 via T=[-2,-3/2,-3/2,-1; 0,1/2,1/2,1; 0,-1/2,1/2,0; 0,-1/2,-1/2,0]
800c0600: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,1,1/2; 1/3,-5/6,-1/3,-1/6; -1/3,-1/6,1/3,-5/6; 1/3,1/6,-1/3,-1/6]
80202440: GL-equivalent to harness Hanner mask 4100104001 via T=[-1/2,0,-1/4,3/4; -1/2,0,3/4,-1/4; -1/2,-1,-1/4,-1/4; 1/2,0,1/4,1/4]
820083: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; 0,-1,-1,0; 0,1,-1,0; 1,1,1,1]
82008a: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1/2,1/2,-1/2; 1/2,-1/2,-1/2,1/2; 1/2,3/2,-1/2,1/2; 1/2,1/2,1/2,1/2]
820092: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; 0,-1,-1,0; 2,3,1,2; -1,-1,-1,-1]
820105: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; 0,-1,-1,0; 0,1,-1,0; 0,0,0,1]
820411: GL-equivalent to harness Hanner mask 4100104001 via T=[-1/2,1/2,1/2,1; -3/2,-1/2,-1/2,-1; -1/2,-3/2,1/2,-1; 1/2,1/2,1/2,0]
820482: GL-equivalent to harness Hanner mask 4100104001 via T=[0,-1,-1,-2; 2,1,1,2; 0,1,-1,0; 1,1,1,1]
820811: GL-equivalent to harness Hanner mask 4100104001 via T=[-1,0,0,1; -1,0,0,-1; 0,-1,1,-1; 1/2,1/2,1/2,0]
820882: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,-1; 1,0,0,1; 0,1,-1,0; 1/2,1/2,1/2,1/2]
822082: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; 1,0,0,1; 0,1,-1,0; -1/2,-1/2,-1/2,-1/2]
822802: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,-1; 0,0,-1,0; 1,1,0,1; 1/2,-1/2,1/2,1/2]
850084: GL-equivalent to harness Hanner mask 4100104001 via T=[2,3/2,1,1/2; 0,-1/2,-1,1/2; 0,1/2,-1,-1/2; 0,-1/2,0,-1/2]
8800c4: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,1; 0,-1,-1,-1; 0,0,-1,0; 0,1/2,0,-1/2]
882022: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,3/2,1/2,-1/2; 3/2,-1/2,1/2,3/2; 1/2,1/2,-1/2,1/2; -1/2,-1/2,-1/2,-1/2]
882101: GL-equivalent to harness Hanner mask 4100104001 via T=[-1/2,-1,1/2,1; -1/2,1,1/2,-1; -3/2,-1,-1/2,-1; 1/2,0,1/2,0]
884081: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,1,1; -1,0,0,-1; -2,-2,-1,-1; 1/2,0,1/2,0]
88441: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,0,1,0; 0,0,1,1]
88448: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,0,1/2,-1/2; 0,0,1/2,1/2]
88450: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1/2,1/2; 0,-1,-1/2,-1/2; 0,0,1/2,-1/2; 0,0,-1/2,-1/2]
88460: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,1; 0,-1,-1,-1; 0,0,0,-1; 0,0,-1,-1]
888101: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1,1/2,1; -1/2,-1,-3/2,-1; 1/2,1,-1/2,-1; 1/2,0,1/2,0]
888808: GL-equivalent to harness Hanner mask 4100104001 via T=[5/4,3/4,1/4,3/4; 1/4,-1/4,-3/4,-1/4; 3/4,5/4,-1/4,-3/4; 1/4,-1/4,1/4,-1/4]
8a440: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1/2,1/2; 0,-1,1/2,1/2; 0,0,1/2,-1/2; 0,0,-1/2,-1/2]
8b040: GL-equivalent to harness Hanner mask 4100104001 via T=[2,3/2,0,-1/2; 0,-1/2,0,-1/2; 0,-1/2,1,1/2; 0,-1/2,0,1/2]
8c0108: GL-equivalent to harness Hanner mask 4100104001 via T=[4/3,1,1/3,2/3; 0,-1,-1,0; 2/3,1,-1/3,-2/3; 1/3,0,1/3,-1/3]
8c420: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,-1/2,-1; -1,-3/2,-1/2,-1; 1,1/2,3/2,1; 1,1/2,1/2,1]
8c440: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,1; 0,-1,1,1; 0,0,0,-1; 0,0,-1,-1]
900112: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,-1; 1,0,0,1; 0,0,-1,0; 1/2,1,1/2,1/2]
900448: GL-equivalent to harness Hanner mask 4100104001 via T=[5/4,1/2,1/4,3/4; 3/4,-1/2,-1/4,-3/4; 1/4,1/2,-3/4,-1/4; 1/4,1/2,1/4,-1/4]
902101: GL-equivalent to harness Hanner mask 4100104001 via T=[-1,-1,0,1; 0,1,1,-1; -1,-1,0,-1; 1/2,0,1/2,0]
91201000: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,0; 0,1/2,1/4,-3/4; 0,1/2,-3/4,1/4; 0,1/2,1/4,1/4]
a000450: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,-1/2,0; 1,-1/2,1/2,0; 0,1/2,1/2,1; 0,1/2,1/2,0]
a000850: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,-1/2,0; 1,-1/2,1/2,0; 0,0,0,1; 0,1/2,1/2,0]
a01a: GL-equivalent to harness Hanner mask 4100104001 via T=[3,1,1,0; -1,-1,-1,0; 1,1,0,1; 1,1,0,0]
a02a: GL-equivalent to harness Hanner mask 4100104001 via T=[3,1,1,0; -1,-1,-1,0; 0,0,0,1; 1,1,0,0]
a052: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 2,1,1,1; 2,1,1,0]
a054: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,0,0,1; 2,1,1,0]
a08a: GL-equivalent to harness Hanner mask 4100104001 via T=[2,0,1,0; 0,0,-1,0; 1,1,0,1; 1,1,0,0]
a10a: GL-equivalent to harness Hanner mask 4100104001 via T=[2,0,1,0; 0,0,-1,0; 0,0,0,1; 1,1,0,0]
a40a: GL-equivalent to harness Hanner mask 4100104001 via T=[1,-1,1,0; 1,1,-1,0; 1,1,0,1; 1,1,0,0]
a450: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,-1/2,0; 1,-1/2,1/2,0; 1,1/2,1/2,1; 1,1/2,1/2,0]
a80a: GL-equivalent to harness Hanner mask 4100104001 via T=[1,-1,1,0; 1,1,-1,0; 0,0,0,1; 1,1,0,0]
a81400: GL-equivalent to harness Hanner mask 4100104001 via T=[2/3,1/3,2/3,0; 0,-1,0,0; 0,0,0,1; 2/3,1/3,-1/3,0]
a850: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,-1/2,0; 1,-1/2,1/2,0; 0,0,0,1; 1,1/2,1/2,0]
b402: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,-1,1,1; 0,-1,1,0]
b404: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,0,0,1; 0,-1,1,0]
b410: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1/2,1/2,0; 0,-1/2,-1/2,0; 0,1/2,-1/2,1; 0,1/2,-1/2,0]
b420: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1/2,1/2,0; 0,-1/2,-1/2,0; 0,0,0,1; 0,1/2,-1/2,0]
c20c0: GL-equivalent to harness Hanner mask 4100104001 via T=[2,5/4,1/2,1/4; 0,-3/4,1/2,1/4; 0,1/4,1/2,-3/4; 0,-1/4,-1/2,-1/4]
c2410: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,0,-1/2; -1,-3/2,0,-1/2; 0,0,1,0; 1,1/2,0,1/2]
c2820: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1,0,-1/2; -1/2,-1,0,-1/2; 0,0,1,0; 1/2,0,0,1/2]
c3040: GL-equivalent to harness Hanner mask 4100104001 via T=[2,3/2,0,-1/2; 0,-1/2,0,-1/2; 0,0,1,0; 0,-1/2,0,1/2]
c4110: GL-equivalent to harness Hanner mask 4100104001 via T=[5/3,1,-1/3,1/3; -1/3,-1,-1/3,1/3; 1,1,1,1; 1/3,0,1/3,-1/3]
c4220: GL-equivalent to harness Hanner mask 4100104001 via T=[4/3,2/3,-1/3,1/3; -2/3,-4/3,-1/3,1/3; 0,0,1,1; 2/3,1/3,1/3,-1/3]
c4420: GL-equivalent to harness Hanner mask 4100104001 via T=[4/3,2/3,-1/3,-2/3; -2/3,-4/3,-1/3,-2/3; 0,0,1,0; 2/3,1/3,1/3,2/3]
c4880: GL-equivalent to harness Hanner mask 4100104001 via T=[2,4/3,-1/3,1/3; 0,-2/3,-1/3,1/3; 0,0,1,1; 0,-1/3,1/3,-1/3]
d8010: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,0; 3,3,2,1; -1,-1,0,-1; 1,1,0,0]
d8020: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,0; 2,2,2,1; 0,0,0,-1; 1,1,0,0]
10028a000: GL-equivalent to harness Hanner mask 4100104001 via T=[1/2,-1/2,0,0; 1/2,1/2,1,0; 0,0,0,1; 1/2,1/2,0,0]
1481400: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,0; 1/3,-1/3,-2/3,0; 1/3,-1/3,1/3,1; 1/3,-1/3,1/3,0]
14a10: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2/3,1/3,1/3; 0,-2/3,-1/3,-1/3; 0,0,1,-1; 0,1/3,-1/3,-1/3]
1501400: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,0; 1/3,-1/3,-2/3,0; 0,0,0,1; 1/3,-1/3,1/3,0]
150a0: GL-equivalent to harness Hanner mask 4100104001 via T=[4/3,2/3,-1/3,-1/3; 2/3,-2/3,1/3,1/3; 0,0,1,-1; 2/3,1/3,1/3,1/3]
16030: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,-1,0; -2,-2,-1,0; 4,2,1,2; 2,1,1,0]
16060: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,-1,0; -2,-2,-1,0; 2,0,1,2; 2,1,1,0]
180c8: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 2/3,1/3,2/3,-2/3; 2/3,1/3,2/3,1/3]
18608: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,-1/3,2/3,-2/3; 0,-1/3,2/3,1/3]
18620: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2/3,2/3,1/3; 0,-2/3,-2/3,-1/3; 0,0,0,-1; 0,1/3,-2/3,-1/3]
188c0: GL-equivalent to harness Hanner mask 4100104001 via T=[4/3,2/3,-2/3,-1/3; 2/3,-2/3,2/3,1/3; 0,0,0,-1; 2/3,1/3,2/3,1/3]
1a050: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,-1,0; -2,-2,-1,0; 2,1,1,1; 2,1,1,0]
1b400: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2,-1,0; 0,0,-1,0; 0,-1,1,1; 0,-1,1,0]
1c030: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,-1,0; -2,-2,-1,0; 6,4,3,2; 2,1,1,0]
1c060: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,-1,0; -2,-2,-1,0; 4,2,3,2; 2,1,1,0]
1cc00: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2,-1,0; 0,0,-1,0; 0,-2,3,2; 0,-1,1,0]
1d800: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2,-1,0; 0,0,-1,0; -2,-4,3,2; 0,-1,1,0]
20036: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2,1,0; 0,0,-1,0; 2,2,1,2; 1,0,0,0]
2003c: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2,1,0; 0,0,-1,0; 0,0,-1,2; 1,0,0,0]
2005a: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2,1,0; 0,0,-1,0; 0,0,0,1; 1,0,0,0]
200a5: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2,1,1; 0,0,-1,-1; 0,0,1,-1; 1,0,0,0]
200c3: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2,2,1; 0,0,-2,-1; 0,0,0,-1; 1,0,0,0]
20115: GL-equivalent to harness Hanner mask 4100104001 via T=[-1,-1,-1,1; -1,-1,1,-1; -1,-1,-1,-1; 1,0,0,0]
20123: GL-equivalent to harness Hanner mask 4100104001 via T=[-1,-1,0,1; -1,-1,0,-1; -1,-1,-2,-1; 1,0,0,0]
201b0: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,0; 1,1,2,0; 1,1,0,2; 1,0,0,0]
201e0: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,0; 1,1,2,0; 1,1,2,2; 1,0,0,0]
2028a: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,1,0; 1,1,-1,0; 0,0,0,1; 1,0,0,0]
202d0: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,0; 1,1,2,0; 0,0,0,1; 1,0,0,0]
2036: GL-equivalent to harness Hanner mask 4100104001 via T=[3,2,1,0; -1,0,-1,0; 5,2,1,2; 1,0,0,0]
203c: GL-equivalent to harness Hanner mask 4100104001 via T=[3,2,1,0; -1,0,-1,0; 1,0,-1,2; 1,0,0,0]
205a: GL-equivalent to harness Hanner mask 4100104001 via T=[3,2,1,0; -1,0,-1,0; 1,0,0,1; 1,0,0,0]
2066: GL-equivalent to harness Hanner mask 4100104001 via T=[3,2,1,0; -1,0,-1,0; 3,0,1,2; 1,0,0,0]
206c: GL-equivalent to harness Hanner mask 4100104001 via T=[3,2,1,0; -1,0,-1,0; -1,-2,-1,2; 1,0,0,0]
206c0: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,0; 0,0,2,1; 0,0,0,-1; 1,0,0,0]
20a5: GL-equivalent to harness Hanner mask 4100104001 via T=[4,2,1,1; -2,0,-1,-1; 0,0,1,-1; 1,0,0,0]
20aa0: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,0; 0,0,1,1; 0,0,1,-1; 1,0,0,0]
2115: GL-equivalent to harness Hanner mask 4100104001 via T=[-1,-1,-1,1; -1,-1,1,-1; -3,-1,-1,-1; 1,0,0,0]
2129: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,1; 0,1,0,-1; 2,1,2,-1; 1,0,0,0]
21450: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,0; 0,0,1,0; 0,0,0,1; 1,0,0,0]
2219: GL-equivalent to harness Hanner mask 4100104001 via T=[-3,-2,-2,1; 1,0,2,-1; -1,0,0,-1; 1,0,0,0]
22620: GL-equivalent to harness Hanner mask 4100104001 via T=[5/3,2/3,-1/3,1/3; 1/3,-2/3,1/3,-1/3; 1,0,1,1; 1/3,1/3,1/3,-1/3]
228a: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; 0,1,-1,0; 1,0,0,1; 1,0,0,0]
230c: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; 0,1,-1,0; 0,-1,-1,2; 1,0,0,0]
26c00: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2,-1,0; 0,0,-1,0; 2,2,-1,2; 0,-1,1,0]
2a050: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,-1,0; -2,-2,-1,0; 0,0,0,1; 2,1,1,0]
2b400: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2,-1,0; 0,0,-1,0; 0,0,0,1; 0,-1,1,0]
302c: GL-equivalent to harness Hanner mask 4100104001 via T=[-1,0,1,-2; -1,-2,-1,2; -1,0,-1,0; 1,0,0,0]
3040104: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,1,1; 0,-1,-1,0; 0,1,-1,0; 1/2,0,0,-1/2]
304a: GL-equivalent to harness Hanner mask 4100104001 via T=[-1,0,0,-1; -1,-2,0,1; -1,0,-1,0; 1,0,0,0]
3105: GL-equivalent to harness Hanner mask 4100104001 via T=[-1,-1,-1,1; -1,-1,1,-1; -1,1,-1,-1; 1,0,0,0]
3209: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,1; 1,2,0,-1; 1,0,2,-1; 1,0,0,0]
340a0: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,-1,-1; -2,-2,-1,-1; 0,0,1,-1; 2,1,1,1]
3450: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,0; 1,0,1,0; 1,0,0,1; 1,0,0,0]
4000115: GL-equivalent to harness Hanner mask 4100104001 via T=[0,-1,-1,1; 0,-1,1,-1; 0,-1,-1,-1; 1,0,0,0]
400028a: B4-equivalent to harness Hanner (10 vertices, mask 820820001)
4001450: B4-equivalent to harness Hanner (10 vertices, mask 4100104001)
4036: GL-equivalent to harness Hanner mask 4100104001 via T=[3,2,1,0; -1,0,-1,0; 3,2,1,2; 1,0,0,0]
403c: GL-equivalent to harness Hanner mask 4100104001 via T=[3,2,1,0; -1,0,-1,0; -1,0,-1,2; 1,0,0,0]
405a: GL-equivalent to harness Hanner mask 4100104001 via T=[3,2,1,0; -1,0,-1,0; 0,0,0,1; 1,0,0,0]
4093: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,0,1; -2,-2,0,-1; -4,-2,-2,-1; 1,0,0,0]
4099: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2,0,1; 0,0,0,-1; 2,0,2,-1; 1,0,0,0]
40a5: GL-equivalent to harness Hanner mask 4100104001 via T=[3,2,1,1; -1,0,-1,-1; 1,0,1,-1; 1,0,0,0]
4115: GL-equivalent to harness Hanner mask 4100104001 via T=[-2,-1,-1,1; 0,-1,1,-1; -2,-1,-1,-1; 1,0,0,0]
418208: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; 0,-1/3,-1/3,-2/3; 0,1,-1,0; 0,-1/3,-1/3,1/3]
4186: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; 0,1,-1,0; 2,1,1,2; 1,0,0,0]
418c: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; 0,1,-1,0; 0,1,-1,2; 1,0,0,0]
422220: GL-equivalent to harness Hanner mask 4100104001 via T=[0,-1,-2,2; 0,-1,0,0; 2,1,2,0; 1,1,1,-1]
4280a0: GL-equivalent to harness Hanner mask 4100104001 via T=[4,3,2,2; 0,-1,0,0; 2,1,2,0; -1,-1,-1,-1]
428140: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,1; 0,-1,0,0; 2,1,2,0; 0,0,-1/2,-1/2]
428500: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,1; 0,-1,0,0; 0,-1,1,-1; 0,0,-1/2,-1/2]
428a: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; 0,1,-1,0; 0,0,0,1; 1,0,0,0]
4400c8: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; 0,-1,-1,0; 0,1/3,-1/3,-2/3; 0,1/3,-1/3,1/3]
441a: GL-equivalent to harness Hanner mask 4100104001 via T=[-2,-2,0,-1; 0,0,0,1; -1,0,-1,0; 1,0,0,0]
4426: GL-equivalent to harness Hanner mask 4100104001 via T=[-3,-2,-1,-2; 1,0,1,2; -1,0,-1,0; 1,0,0,0]
4483: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,0,1; -2,-2,0,-1; -2,0,-2,-1; 1,0,0,0]
4489: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2,0,1; 0,0,0,-1; 0,-2,2,-1; 1,0,0,0]
4505: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,1; 0,1,-1,-1; 0,-1,1,-1; 1,0,0,0]
451400: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,1,0; 0,-1,0,0; 1/2,1/2,-1/2,1; 1/2,1/2,-1/2,0]
460c00: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,1,0; 0,-1,0,0; 1,2,-1,2; 1/2,1/2,-1/2,0]
481c: GL-equivalent to harness Hanner mask 4100104001 via T=[-1,-2,1,-2; -1,0,-1,2; -1,0,-1,0; 1,0,0,0]
482a: GL-equivalent to harness Hanner mask 4100104001 via T=[-1,-1,0,-1; -1,-1,0,1; -1,0,-1,0; 1,0,0,0]
488440: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,1; 0,-1,0,0; 0,0,1/2,-1/2; 0,0,-1/2,-1/2]
4885: GL-equivalent to harness Hanner mask 4100104001 via T=[-1,0,-1,1; -1,-2,1,-1; -1,0,-1,-1; 1,0,0,0]
4c06: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,1,0; 1,2,-1,0; 1,0,1,2; 1,0,0,0]
4c0c: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,1,0; 1,2,-1,0; 1,2,-1,2; 1,0,0,0]
4c30: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,0; 1,0,1,0; 1,1,0,2; 1,0,0,0]
52120: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1,0,-1/2; -1/2,-1,0,-1/2; 3/2,1,2,-1/2; 1/2,0,0,1/2]
52240: GL-equivalent to harness Hanner mask 4100104001 via T=[2,3/2,0,-1/2; 0,-1/2,0,-1/2; 2,3/2,2,-1/2; 0,-1/2,0,1/2]
540a: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,1,0; 1,2,-1,0; 0,0,0,1; 1,0,0,0]
540a0: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,-1/2,-1/2; -1,-3/2,-1/2,-1/2; 1,1/2,3/2,-1/2; 1,1/2,1/2,1/2]
540a00: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,1/2,1/2; 0,-1,0,0; 0,0,1,-1; 1/2,1/4,-1/4,-1/4]
5450: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,0; 1,0,1,0; 0,0,0,1; 1,0,0,0]
6086: GL-equivalent to harness Hanner mask 4100104001 via T=[2,0,1,0; 0,0,-1,0; 4,2,1,2; 1,1,0,0]
608820: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,1; 0,-1,0,0; 1/2,0,1,-1/2; 1/2,0,0,-1/2]
8028a000: GL-equivalent to harness Hanner mask 4100104001 via T=[1/2,-1/2,0,0; 1/2,1/2,1,0; 1/2,1/2,0,1; 1/2,1/2,0,0]
820608: GL-equivalent to harness Hanner mask 4100104001 via T=[4/3,1/3,1/3,2/3; 2/3,-1/3,-1/3,-2/3; 0,1,-1,0; 1/3,1/3,1/3,-1/3]
851400: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,1,0; 0,-1,0,0; 0,0,0,1; 1/2,1/2,-1/2,0]
881022: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,-1; 1,-1,0,1; 1/3,1/3,-2/3,1/3; 1/3,1/3,1/3,1/3]
882410: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,0,-1; 0,-1,0,0; 1,1/2,1,1/2; 1,1/2,0,1/2]
890090: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,0,-1; 0,-1,0,0; 2,2,2,1; 1,1/2,0,1/2]
8a050: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,-1/2,0; -1,-3/2,-1/2,0; 1,1/2,1/2,1; 1,1/2,1/2,0]
8a280: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1,-1/2,0; -1/2,-1,-1/2,0; 1/2,0,1/2,1; 1/2,0,1/2,0]
8c030: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,-1/2,0; -1,-3/2,-1/2,0; 3,5/2,3/2,2; 1,1/2,1/2,0]
